size,ms_w,,,,,,,,
large,91.6667,,,,,,,,
large,120.8333,,,,,,,,
large,125,,,,,,,,
large,145.8333,,,,,,,,
large,158.3333,,,,,,,,
large,162.5,,,,,,,,
large,100,,,,,,,,
large,104.1667,,,,,,,,
large,154.1667,,,,,,,,
large,145.8333,,,,,,,,
large,170.8333,,,,,,,,
large,204.1667,,,,,,,,
large,183.3333,,,,,,,,
large,0.2625,,,,,,,,
large,120.8333,,,,,,,,
large,787.5,,,,,,,,
large,150,,,,,,,,
large,150,,,,,,,,
large,170.8333,,,,,,,,
large,262.5,,,,,,,,
large,329.1667,,,,,,,,
large,41.6667,,,,,,,,
large,100,,,,,,,,
large,133.3333,,,,,,,,
large,137.5,,,,,,,,
large,133.3333,,,,,,,,
large,141.6667,,,,,,,,
large,208.3333,,,,,,,,
large,241.6667,,,,,,,,
large,287.5,,,,,,,,
large,275,,,,,,,,
large,254.1667,,,,,,,,
large,333.3333,,,,,,,,
large,304.1667,,,,,,,,
large,416.6667,,,,,,,,
large,429.1667,,,,,,,,
large,529.1667,,,,,,,,
large,550,,,,,,,,
large,91.6667,,,,,,,,
large,150,,,,,,,,
large,158.3333,,,,,,,,
large,220.8333,,,,,,,,
large,220.8333,,,,,,,,
large,262.5,,,,,,,,
large,262.5,,,,,,,,
large,295.8333,,,,,,,,
large,487.5,,,,,,,,
large,604.1667,,,,,,,,
large,658.3333,,,,,,,,
large,475,,,,,,,,
small,26,,,,,,,,
small,236,,,,,,,,
small,166,,,,,,,,
small,256,,,,,,,,
small,266,,,,,,,,
small,248,,,,,,,,
small,270,,,,,,,,
small,250,,,,,,,,
small,296,,,,,,,,
small,132,,,,,,,,
small,160,,,,,,,,
small,264,,,,,,,,
small,272,,,,,,,,
small,240,,,,,,,,
small,172,,,,,,,,
small,250,,,,,,,,
small,224,,,,,,,,
small,148,,,,,,,,
small,266,,,,,,,,
small,278,,,,,,,,
small,278,,,,,,,,
small,410,,,,,,,,
small,66,,,,,,,,
small,68,,,,,,,,
small,80,,,,,,,,
small,84,,,,,,,,
small,158,,,,,,,,
small,176,,,,,,,,
small,164,,,,,,,,
small,244,,,,,,,,
small,262,,,,,,,,
small,184,,,,,,,,
small,208,,,,,,,,
small,228,,,,,,,,
small,200,,,,,,,,
small,206,,,,,,,,
small,228,,,,,,,,
small,112,,,,,,,,
small,130,,,,,,,,
small,104,,,,,,,,
small,176,,,,,,,,
small,230,,,,,,,,
small,260,,,,,,,,
small,286,,,,,,,,
small,190,,,,,,,,
small,132,,,,,,,,
small,186,,,,,,,,
small,188,,,,,,,,
small,296,,,,,,,,
small,254,,,,,,,,
small,238,,,,,,,,
small,286,,,,,,,,
small,336,,,,,,,,
small,412,,,,,,,,
large,233.33,,,,,,,,
large,241.67,,,,,,,,
large,325,,,,,,,,
large,329.17,,,,,,,,
large,337.5,,,,,,,,
large,420.83,,,,,,,,
large,416.67,,,,,,,,
large,475,,,,,,,,
large,483.33,,,,,,,,
large,516.67,,,,,,,,
large,550,,,,,,,,
large,150,,,,,,,,
large,166.67,,,,,,,,
large,212.5,,,,,,,,
large,225,,,,,,,,
large,237.5,,,,,,,,
large,245.83,,,,,,,,
large,258.33,,,,,,,,
large,275,,,,,,,,
large,262.5,,,,,,,,
large,283.33,,,,,,,,
large,295.83,,,,,,,,
large,491.67,,,,,,,,
large,170.83,,,,,,,,
large,191.67,,,,,,,,
large,204.17,,,,,,,,
large,233.33,,,,,,,,
large,237.5,,,,,,,,
large,241.67,,,,,,,,
large,275,,,,,,,,
large,337.5,,,,,,,,
large,625,,,,,,,,
large,112.5,,,,,,,,
large,187.5,,,,,,,,
large,187.5,,,,,,,,
large,187.5,,,,,,,,
large,220.83,,,,,,,,
large,254.17,,,,,,,,
large,258.33,,,,,,,,
large,262.5,,,,,,,,
large,387.5,,,,,,,,
large,120.83,,,,,,,,
large,133.33,,,,,,,,
large,150,,,,,,,,
large,154.17,,,,,,,,
large,162.5,,,,,,,,
large,233.33,,,,,,,,
large,287.5,,,,,,,,
large,366.67,,,,,,,,
large,370.83,,,,,,,,
large,379.17,,,,,,,,
large,391.67,,,,,,,,
large,404.17,,,,,,,,
small,112.5,,,,,,,,
small,104.17,,,,,,,,
small,108.33,,,,,,,,
small,141.67,,,,,,,,
small,150,,,,,,,,
small,187.5,,,,,,,,
small,179.17,,,,,,,,
small,216.67,,,,,,,,
small,195.83,,,,,,,,
small,220.83,,,,,,,,
small,70.83,,,,,,,,
small,104.17,,,,,,,,
small,112.5,,,,,,,,
small,91.67,,,,,,,,
small,195.83,,,,,,,,
small,191.67,,,,,,,,
small,241.67,,,,,,,,
small,308.33,,,,,,,,
small,237.5,,,,,,,,
small,483.33,,,,,,,,
small,550,,,,,,,,
small,987.5,,,,,,,,
small,379.17,,,,,,,,