video,spont_id,size,ref1x,ref1y,ref2x,ref2y,start_frame,end_frame,st_head_x,st_head_y,st_cm_x,st_cm_y,end_head_x,end_head_y,end_cm_x,end_cm_y,starting_angle,final_angle_DEG,turning_radius_degrees,turning_angle_absolute_value,turning_duration,turning_rate,
school4_large_control1,1,large,0.11,0.27,10.88,-0.19,509,592,48.68,-25.6,47.07,-27.57,46.4,-24.21,46.52,-26.48,-129.2577167,-86.97396492,42.28375181,42.28375181,346.11,0.122168535,
school4_large_control1,2,large,0.11,0.27,10.88,-0.19,1358,1434,16.13,-25.58,17.65,-27.08,14.85,-28.12,17.29,-27.43,-44.6205633,15.79020728,60.41077058,60.41077058,316.92,0.19061836,
school4_large_control1,3,large,0.11,0.27,10.88,-0.19,894,986,25.17,-49.2,27.44,-50.09,23.86,-52.66,26.25,-50.87,-21.40867991,36.83152138,58.24020128,58.24020128,383.64,0.151809512,
school4_large_control2,4,large,-0.11,-0.5,10.3,0.11,454,531,39.79,-43.63,40.57,-45.61,45.27,-43.43,43.07,-44.7,-68.49856568,-150.0033322,-81.50476655,81.50476655,321.09,0.253837761,
school4_large_control2,5,large,-0.11,-0.5,10.3,0.11,515,592,25.78,-42.46,23.65,-41.18,26.9,-38.26,25.71,-39.79,148.9967019,-127.8749837,-276.8716855,276.8716855,321.09,0.862286853,#deleting outlier  from data
school4_large_control2,6,large,-0.11,-0.5,10.3,0.11,1241,1337,50.19,-29,50.15,-31.38,54.31,-26.64,52.84,-28.28,-90.96286363,-131.8711902,-40.90832653,40.90832653,400.32,0.102189065,
school4_large_control2,7,large,-0.11,-0.5,10.3,0.11,808,879,30.77,-48.49,33.43,-48.18,32.62,-45.31,33.12,-47.4,6.647341436,-76.54574782,-83.19308926,83.19308926,296.07,0.280991283,
cy_s_gp_trial1_sch1_stim1_2023-,8,small,0.32,0.02,10.97,-0.04,2298,2384,-24.25,-57.07,-23.2,-56.89,-24.51,-54.93,-24.21,-55.8,9.727578551,-70.97439396,-80.70197251,80.70197251,358.62,0.225034779,
cy_s_gp_trial1_sch1_stim1_2023-,9,small,0.32,0.02,10.97,-0.04,2953,3020,-21.34,-48.99,-22.15,-49.78,-21.02,-51.06,-21.49,-50.4,-135.7161599,125.4554744,261.1716344,261.1716344,279.39,0.934792349,
cy_s_gp_trial1_sch1_stim1_2023-,10,small,0.32,0.02,10.97,-0.04,7067,7152,4.7,-110.25,5.75,-109.83,4.42,-108.57,4.93,-109.62,21.80140949,-64.093492,-85.89490149,85.89490149,354.45,0.242332914,
cy_s_gp_trial1_sch1_stim1_2023-,11,small,0.32,0.02,10.97,-0.04,31278,31347,0.51,-63.32,1.72,-63.49,2.34,-61.63,1.69,-62.52,-7.997473472,-126.1420412,-118.1445678,118.1445678,287.73,0.41060914,
cy_s_gp_trial1_sch1_stim1_2023-,12,small,0.32,0.02,10.97,-0.04,31337,31411,-1.81,-62.52,-0.86,-62.35,-0.42,-60.21,-1.03,-61.4,10.14554443,-117.1399059,-127.2854504,127.2854504,308.58,0.412487687,
cy_s_gp_trial1_sch1_stim1_2023-,13,small,0.32,0.02,10.97,-0.04,31371,31455,14.49,-58.18,15.72,-58.57,16.48,-56.63,15.93,-57.73,-17.59242456,-116.5650512,-98.97262661,98.97262661,350.28,0.282552891,
cy_s_gp_trial1_sch1_stim1_2023-,14,small,0.32,0.02,10.97,-0.04,35604,35642,14.92,-53,13.92,-53.48,13.15,-51.78,13.77,-52.75,-154.3589942,-57.41429265,96.94470153,96.94470153,158.46,0.611792891,
p1_cy_l_trial2_sch2_stim4_2023-08-10-11-37_spontaneous,1,large,0.15,0.05,10.85,-0.05,200,288,27.43,49.77,25.87,47.91,24.26,51.72,24.94,48.79,-129.9868862,-76.93399553,53.05289071,53.05289071,366.96,0.144574043,
p1_cy_l_trial2_sch2_stim4_2023-08-10-11-37_spontaneous,2,large,0.15,0.05,10.85,-0.05,810,908,14.05,56.43,16.54,55.14,13,53.15,15.26,54.51,-27.38742216,31.03826336,58.42568551,58.42568551,408.66,0.142968936,
p1_cy_l_trial2_sch2_stim4_2023-08-10-11-37_spontaneous,3,large,0.15,0.05,10.85,-0.05,1383,1469,19.41,47.77,21.56,49.55,17.27,49.79,20.58,49.52,39.62159445,-4.663349106,-44.28494356,44.28494356,358.62,0.123487099,
p1_cy_l_trial2_sch2_stim4_2023-08-10-11-37_spontaneous,4,large,0.15,0.05,10.85,-0.05,1582,1682,28.75,40.34,30.41,42.77,25.24,42.8,28.75,42.62,55.66193998,-2.935673446,-58.59761342,58.59761342,417,0.140521855,
p1_cy_l_trial2_sch2_stim4_2023-08-10-11-37_spontaneous,5,large,0.15,0.05,10.85,-0.05,1654,1743,0.63,53.72,1.09,50.99,2.97,54.04,1.2,52.04,-80.43560703,-131.5088286,-51.07322154,51.07322154,371.13,0.137615449,
p1_cy_l_trial2_sch2_stim4_2023-08-10-11-37_spontaneous,6,large,0.15,0.05,10.85,-0.05,2817,2891,24.11,72.25,22.52,70.06,21.02,73.15,22.35,70.44,-125.9806776,-63.85935424,62.12132333,62.12132333,308.58,0.201313511,
p2_cy_l_trial2_sch2_stim4_2023-08-10-11-37_spontaneous,7,large,0,0,10.7,0,335,446,-11.12,60.87,-9.63,58.63,-7.82,62.32,-9.29,59.79,-56.36900027,-120.1577729,-63.78877268,63.78877268,462.87,0.137811422,
pt1.cy_s_gp_trial4_sch4_stim4_2023-08-14-14-09,1,small,0.01,0.08,10.74,0.09,289,365,39.94,18.08,40.81,16.79,38.91,17.1,40.36,16.82,-56.00354085,-10.929488,45.07405285,45.07405285,316.92,0.142225334,
pt1.cy_s_gp_trial4_sch4_stim4_2023-08-14-14-09,2,small,0.01,0.08,10.74,0.09,416,494,53.94,21.41,52.58,21.82,53.58,19.54,52.72,21.43,163.2234857,114.4667909,-48.75669483,48.75669483,325.26,0.149900679,
pt1.cy_s_gp_trial4_sch4_stim4_2023-08-14-14-09,3,small,0.01,0.08,10.74,0.09,849,938,52.27,0.95,53.48,1.84,51.12,1.69,52.8,1.88,36.33586457,6.452462888,-29.88340168,29.88340168,371.13,0.080520038,
pt1.cy_s_gp_trial4_sch4_stim4_2023-08-14-14-09,4,small,0.01,0.08,10.74,0.09,1755,1861,41.85,38.41,40.09,38.83,40.68,36.54,39.93,38.27,166.5781649,113.4379865,-53.1401784,53.1401784,442.02,0.120221208,
pt2.cy_s_gp_trial4_sch4_stim4_2023-08-14-14-09,5,small,0,0,10.87,-0.11,30,103,38,28.44,38.37,28.82,38.58,26.31,38.77,27.64,45.76389846,81.86989765,36.10599918,36.10599918,304.41,0.118609767,
pt2.cy_s_gp_trial4_sch4_stim4_2023-08-14-14-09,6,small,0,0,10.87,-0.11,211,303,26.62,26.88,26.02,28.16,23.33,26.97,24.66,27.49,115.1148349,21.35437736,-93.76045752,93.76045752,383.64,0.24439698,
pt2.cy_s_gp_trial4_sch4_stim4_2023-08-14-14-09,7,small,0,0,10.87,-0.11,773,848,19.6,31.33,19.57,32.72,17.6,31.34,18.98,32.45,91.2364076,38.81138404,-52.42502357,52.42502357,312.75,0.167625975,
cy_l_sch3_stim2,1,large,-0.19,0.15,10.65,-0.19,357,385,30.47,-40.94,32.95,-40.01,29.9,-42.19,31.49,-40.84,20.55604522,40.33314163,19.77709641,19.77709641,116.76,0.169382463,
cy_l_sch3_stim5,2,large,-0.38,-0.03,10.82,-0.19,81,131,33.16,-48.46,35.34,-49.04,33.92,-46.06,34.87,-48.11,-14.89869543,-65.13630343,-50.23760799,50.23760799,208.5,0.24094776,
cy_l_sch3_ctrl1,3,large,-0.09,-0.11,10.81,-0.1,36,78,108.39,-67.26,110.62,-67.54,109.11,-65.49,109.96,-67,-7.156636533,-60.62423458,-53.46759805,53.46759805,175.14,0.305284904,
cy_l_sch3_ctrl1,4,large,-0.09,-0.11,10.81,-0.1,118,177,139.95,-80.65,138.53,-79.39,141.13,-78.43,139.06,-79.74,138.4165882,-147.6723159,-286.0889041,286.0889041,246.03,1.162821217,#deleting outlier  from data
cy_l_sch3_ctrl1,5,large,-0.09,-0.11,10.81,-0.1,1046,1187,90.91,-0.95,92.49,-2.56,95.78,-1.87,93.73,-0.84,-45.5388159,153.3232613,198.8620772,198.8620772,587.97,0.338218068,
cy_l_sch3_ctrl1,6,large,-0.09,-0.11,10.81,-0.1,1140,1182,116.9,-16.35,116.43,-18.7,114.09,-14.87,115.99,-16.09,-101.3099325,-32.70473358,68.6051989,68.6051989,175.14,0.391716335,
cy_l_sch3_ctrl1,7,large,-0.09,-0.11,10.81,-0.1,1190,1233,108.06,-18.13,109.01,-20.51,110.4,-16.83,108.85,-18.94,-68.24010919,-126.3008979,-58.06078873,58.06078873,179.31,0.323801175,
cy_s_nopart_sch1_stim1,8,small,-0.37,0.2,10.62,0.39,1681,1703,-37.73,-31.51,-38.48,-32.72,-38.41,-30.61,-38.1,-32.03,-121.7920715,-77.68498152,44.10709002,44.10709002,91.74,0.480783628,
cy_s_nopart_sch1_stim1,9,small,-0.37,0.2,10.62,0.39,1743,1775,-37.33,-40.15,-37.38,-41.55,-39.11,-40.79,-37.89,-41.01,-92.04540849,-10.22216863,81.82323986,81.82323986,133.44,0.613183752,
cy_s_nopart_sch1_stim1,10,small,-0.37,0.2,10.62,0.39,1750,1766,4.02,-39.84,2.6,-40.32,3.93,-37.37,4.05,-38.96,-161.3232983,-85.68397248,75.63932579,75.63932579,66.72,1.13368294,#deleting outlier  from data
cy_s_nopart_sch1_stim1,11,small,-0.37,0.2,10.62,0.39,1931,1955,-2.59,-27.64,-3.51,-28.84,-4.83,-26.51,-3.81,-27.43,-127.4761796,-42.04922089,85.42695867,85.42695867,100.08,0.853586717,
cy_s_nopart_sch1_stim1,12,small,-0.37,0.2,10.62,0.39,2128,2151,-12.41,-31.87,-12.11,-33.47,-13.63,-31.66,-12.62,-32.92,-79.38034472,-51.28477998,28.09556474,28.09556474,95.91,0.292936761,
cy_s_nopart_sch1_stim1,13,small,-0.37,0.2,10.62,0.39,2037,2076,-34.51,-34.79,-35.42,-35.64,-35.17,-33.54,-35.57,-35.11,-136.952509,-104.2935581,32.65895094,32.65895094,162.63,0.200817506,
cy_s_nopart_sch1_stim1,14,small,-0.37,0.2,10.62,0.39,2152,2190,-35.28,-31.6,-35.34,-33.18,-37.05,-31.89,-35.85,-32.64,-92.17474411,-32.00538321,60.16936091,60.16936091,158.46,0.379713246,